'ID','Dungeon','Room'
'0','?','links-house-2911'
'1','?','outside-links-house-723'
'2','?','outside-castle-1628'
'3','?','outside-castle-1631'
'4','?','uncle-1342'
'5','?','uncle-1348'
'6','?','passage-exit-442'
'7','?','courtyard-923'
'8','?','castle-lobby-631'
'9','?','castle-lobby-pumpless-636'
'10','?','sw-room-439'
'11','?','sw-room-pumpless-448'
'12','?','west-guard-hallway1-603'
'13','?','statue-hallway1-415'
'14','?','1st-keyguard-leftslash-801'
'15','?','first-keyguard1-3slash-825'
'16','?','first-keyguard1-upspin-811'
'17','?','b1-pit-lower-404'
'18','?','b1-pit2-lower-945'
'19','?','stealth-room-927'
'20','?','stealth-room-929'
'21','?','green-guard-bestrng-432'
'22','?','green-guard-bestrng-rta-438'
'23','?','blue-boomguard-739'
'24','?','blue-boomguard-skip-627'
'25','?','green-guard2-426'
'26','?','stairs-to-b2-1-359'
'27','?','b2-1-533'
'28','?','bnc-1pot4slash-3227'
'29','?','bnc-8slash-3120'
'30','?','bnc-8slash-3130'
'31','?','bnc-joestrat-3238'
'32','?','bnc-joestrat-3244'
'33','?','b2-2-530'
'34','?','stairs-to-b2-2-651'
'35','?','stairs-to-b2-2-652'
'36','?','green-guard3-426'
'37','?','stealth-room2-920'
'38','?','b1-pit2-upper-301'
'39','?','b1-pit1-upper-627'
'40','?','b1-pit1-upper-pumpless-628'
'41','?','1st-keyguard2-314'
'42','?','statue-hallway2-709'
'43','?','west-guard-hallway2-612'
'44','?','sw-room2-445'
'45','?','castle-lobby2-721'
'46','?','throne-room-1632'
'47','?','throne-room-1634'
'48','?','sewer-passage-857'
'49','?','sewer-passage-pumpless-903'
'50','?','snake-room-700'
'51','?','snake-room-perfect-rng-655'
'52','?','sewer-key-chest-risky-1212'
'53','?','sewer-key-chest-rta-1215'
'54','?','sewer1-706'
'55','?','sewer1-707'
'56','?','sewer2-608'
'57','?','keyrat-840'
'58','?','rat-hallway-827'
'59','?','behind-sanc-705'
'60','?','behind-sanc-rta-719'
'61','?','behind-sanc2-720'
'62','?','?'
'63','?','sanc-2946'
'64','?','sanc-heart-3303'
'65','?','sanc-heart-chestturn-3305'
'66','?','outside-sanc-807'
'67','?','graveyard-646'
'68','?','east-path-403'
'69','?','wooden-bridge-906'
'70','?','octofield-724'
'71','?','guard-bridge-311'
'72','?','east-fairy-cave-right-exit-326'
'73','?','outside-eastern-2540'
'74','?','entrance-504'
'75','?','three-popos-434'
'76','?','cannonballs-859'
'77','?','bigchest-upper-leftpot-736'
'78','?','westwing-upper-455'
'79','?','stalfos-spawn-617'
'80','?','compass-room-615'
'81','?','westwing-lower1-335'
'82','?','bigchest-lower1-arrows-805'
'83','?','bigchest-lower1-noarrows-704'
'84','?','east-wing-645'
'85','?','dark-af-boom-623'
'86','?','dark-af-sword-630'
'87','?','dark-potkey-diagboom-656'
'88','?','dark-potkey-walk-658'
'89','?','dark-af2-607'
'90','?','cannonballs-upper-851'
'91','?','bigkey-1105'
'92','?','westwing-lower2-756'
'93','?','bigchest-bow-1452'
'94','?','gwg-noslash-menu-913'
'95','?','afpots-802'
'96','?','eyegore-floor-switch-519'
'97','?','eyegore-floor-switch-pumpless-522'
'98','?','cannonball-switch-503'
'99','?','cannonball-switch-pumpless-507'
'100','?','zgr-601'
'101','?','double-red-eyegores-617'
'102','?','armos-topright-1321'
'103','?','outside-eastern-1322'
'104','?','saha-walkout-1951-449-8'
'105','?','outside-eastern2-1301-99-0'
'106','?','east-fairy-cave-253'
'107','?','guard-bridge-601-35-0'
'108','?','links-yard-354-32-0'
'109','?','annoying-bushes-403'
'110','?','west-of-swamp1-356'
'111','?','south-of-grove1-right-exit-452-32-0'
'112','?','grove-westside1-nocharge-255'
'113','?','grove-westside1-swordcharge-308'
'114','?','outside-library1-dashes-708'
'115','?','outside-library1-spindash-626'
'116','?','library-1038-127-0'
'117','?','outside-library2-noss-751-99-0'
'118','?','outside-library2-spindash-707'
'119','?','grove-westside2-leftexit-233-36'
'120','?','grove-westside2-rta-243-36'
'121','?','south-of-grove2-fromleft-belowbush-458-32'
'122','?','south-of-grove2-fromleft-bushdash-455-32'
'123','?','south-of-grove2-fromright-bushdash-447-32'
'124','?','west-of-swamp2-frombelow-350'
'125','?','west-of-swamp2-frombushes-346'
'126','?','west-of-swamp2-fromlowbushes-346'
'127','?','west-of-swamp2-fromlowbushes-farleftexit-346'
'128','?','annoying-bushes2-352-33'
'129','?','links-yard-339-32'
'130','?','links-yard-earlydash-336-32'
'131','?','waterdash-menu-629-35-1'
'132','?','waterdash-nomenu-524-37-0'
'133','?','east-of-watergate-216-35'
'134','?','watergate-552-37'
'135','?','middle-aged-man-643-31'
'136','?','outside-desert-2250-175'
'137','?','desert1-risky-726-97'
'138','?','desert1-rta-730-98'
'139','?','north-hall1-leftpoke-510-21'
'140','?','north-hall1-rtapoke-512-21'
'141','?','nw-room1-258-19'
'142','?','torchkey-rta-614'
'143','?','torchkey-underleft-614'
'144','?','nw-room2-235'
'145','?','north-hall2-412-21'
'146','?','ne-room1-351'
'147','?','east-wing1-416-21'
'148','?','compass-room1-519'
'149','?','bigkey-chestturn-758-49'
'150','?','bigkey-rta-goodrng-803'
'151','?','compass-room2-405'
'152','?','compass-room2-pumpless-407'
'153','?','east-wing2-318'
'154','?','east-wing2-pumpless-319'
'155','?','ne-room2-418-20'
'156','?','north-hall3-412-21'
'157','?','nw-room3-346-18'
'158','?','cop1-528'
